symbol,date,open,high,low,close
BTC,2017-02-16T00:00:00Z,1008.19,1040.28,1007.39,1031.93
BTC,2017-02-17T00:00:00Z,1031.93,1057.39,1025.87,1049.41
BTC,2017-02-18T00:00:00Z,1049.41,1063.21,1044.68,1052.28
BTC,2017-02-19T00:00:00Z,1052.28,1056.48,1037.67,1048.89
BTC,2017-02-20T00:00:00Z,1048.89,1081.78,1040.99,1077.56
BTC,2017-02-21T00:00:00Z,1077.56,1123.03,1073.54,1119.03
BTC,2017-02-22T00:00:00Z,1119.03,1132.25,1094.83,1120.46
BTC,2017-02-23T00:00:00Z,1120.46,1181.6,1113.54,1171.91
BTC,2017-02-24T00:00:00Z,1171.91,1211.74,1092.41,1176.49
BTC,2017-02-25T00:00:00Z,1176.49,1180.01,1116.21,1149.05
BTC,2017-02-26T00:00:00Z,1149.05,1177.47,1130.61,1171.58
BTC,2017-02-27T00:00:00Z,1171.58,1195.82,1164.27,1188.83
BTC,2017-02-28T00:00:00Z,1188.83,1208.22,1175.75,1189.27
BTC,2017-03-01T00:00:00Z,1189.27,1225.04,1154.55,1222.66
BTC,2017-03-02T00:00:00Z,1222.66,1286.98,1211.96,1255.47
BTC,2017-03-03T00:00:00Z,1255.47,1291.35,1250.8,1283.3
BTC,2017-03-04T00:00:00Z,1283.3,1285.78,1228.73,1264.32
BTC,2017-03-05T00:00:00Z,1264.32,1273.28,1242.1,1271.22
BTC,2017-03-06T00:00:00Z,1271.22,1280.61,1261,1277.01
BTC,2017-03-07T00:00:00Z,1277.01,1280.89,1148.66,1232.69
BTC,2017-03-08T00:00:00Z,1232.69,1242.04,1136.88,1146.97
BTC,2017-03-09T00:00:00Z,1146.97,1206.97,1129.35,1191.33
BTC,2017-03-10T00:00:00Z,1191.33,1330.42,988.69,1112.39
BTC,2017-03-11T00:00:00Z,1112.39,1202.69,1104.78,1179.22
BTC,2017-03-12T00:00:00Z,1179.22,1235.46,1160.9,1225.11
BTC,2017-03-13T00:00:00Z,1225.11,1245.63,1205.61,1238.19
BTC,2017-03-14T00:00:00Z,1238.19,1255.52,1218.38,1243.14
BTC,2017-03-15T00:00:00Z,1243.14,1256.95,1236.43,1253.43
BTC,2017-03-16T00:00:00Z,1253.43,1260.24,1118.96,1172.88
BTC,2017-03-17T00:00:00Z,1172.88,1174.9,1063.48,1071.71
BTC,2017-03-18T00:00:00Z,1071.71,1103.61,940.18,971.38
BTC,2017-03-19T00:00:00Z,971.38,1063.67,967.31,1022.6
BTC,2017-03-20T00:00:00Z,1022.6,1057.5,1005.05,1047.51
BTC,2017-03-21T00:00:00Z,1047.51,1125.53,1043.87,1121.29
BTC,2017-03-22T00:00:00Z,1121.29,1121.88,997.78,1044.72
BTC,2017-03-23T00:00:00Z,1044.72,1062.79,1022.02,1035.03
BTC,2017-03-24T00:00:00Z,1035.03,1038.38,927.35,939.7
BTC,2017-03-25T00:00:00Z,939.7,995.96,890.43,966.3
BTC,2017-03-26T00:00:00Z,966.3,1004.32,946.65,969.44
BTC,2017-03-27T00:00:00Z,969.44,1048.85,961.8,1045.14
BTC,2017-03-28T00:00:00Z,1045.14,1068.41,1015.45,1044.42
BTC,2017-03-29T00:00:00Z,1044.42,1058.66,1008.34,1041.9
BTC,2017-03-30T00:00:00Z,1041.9,1052.66,1020.93,1037.91
BTC,2017-03-31T00:00:00Z,1037.91,1088.2,1035.18,1079.11
